Count,Label,CBG,GEOID
84900,Est. Avg. Comp Sales (1-Fam) 2007,118.052,4.21E+11
104833,Est. Avg. Comp Sales (1-Fam) 2007,147.001,4.21E+11
150233,Est. Avg. Comp Sales (1-Fam) 2007,147.002,4.21E+11
62275,Est. Avg. Comp Sales (1-Fam) 2007,147.003,4.21E+11
275000,Est. Avg. Comp Sales (1-Fam) 2017,1.001,4.21E+11
162500,Est. Avg. Comp Sales (1-Fam) 2017,1.002,4.21E+11
224200,Est. Avg. Comp Sales (1-Fam) 2017,1.003,4.21E+11
106720,Est. Avg. Comp Sales (1-Fam) 2017,2.001,4.21E+11
134293,Est. Avg. Comp Sales (1-Fam) 2017,2.002,4.21E+11
130531,Est. Avg. Comp Sales (1-Fam) 2017,3.001,4.21E+11
104001,Est. Avg. Comp Sales (1-Fam) 2017,3.002,4.21E+11
158461,Est. Avg. Comp Sales (1-Fam) 2017,3.003,4.21E+11
145328,Est. Avg. Comp Sales (1-Fam) 2017,3.004,4.21E+11
145150,Est. Avg. Comp Sales (1-Fam) 2017,4.001,4.21E+11
105750,Est. Avg. Comp Sales (1-Fam) 2017,4.002,4.21E+11
188650,Est. Avg. Comp Sales (1-Fam) 2017,4.003,4.21E+11
168750,Est. Avg. Comp Sales (1-Fam) 2017,4.004,4.21E+11
149942,Est. Avg. Comp Sales (1-Fam) 2017,5.001,4.21E+11
145418,Est. Avg. Comp Sales (1-Fam) 2017,5.002,4.21E+11
171365,Est. Avg. Comp Sales (1-Fam) 2017,5.003,4.21E+11
240475,Est. Avg. Comp Sales (1-Fam) 2017,5.004,4.21E+11
221589,Est. Avg. Comp Sales (1-Fam) 2017,6.001,4.21E+11
164650,Est. Avg. Comp Sales (1-Fam) 2017,6.002,4.21E+11
203993,Est. Avg. Comp Sales (1-Fam) 2017,6.003,4.21E+11
208983,Est. Avg. Comp Sales (1-Fam) 2017,6.004,4.21E+11
122759,Est. Avg. Comp Sales (1-Fam) 2017,7.001,4.21E+11
148350,Est. Avg. Comp Sales (1-Fam) 2017,7.002,4.21E+11
178571,Est. Avg. Comp Sales (1-Fam) 2017,7.003,4.21E+11
136375,Est. Avg. Comp Sales (1-Fam) 2017,8.001,4.21E+11
74143,Est. Avg. Comp Sales (1-Fam) 2017,8.002,4.21E+11
70060,Est. Avg. Comp Sales (1-Fam) 2017,8.003,4.21E+11
128500,Est. Avg. Comp Sales (1-Fam) 2017,8.004,4.21E+11
74071,Est. Avg. Comp Sales (1-Fam) 2017,9.001,4.21E+11
73754,Est. Avg. Comp Sales (1-Fam) 2017,9.002,4.21E+11
109900,Est. Avg. Comp Sales (1-Fam) 2017,9.003,4.21E+11
149276,Est. Avg. Comp Sales (1-Fam) 2017,9.004,4.21E+11
68800,Est. Avg. Comp Sales (1-Fam) 2017,10.001,4.21E+11
119927,Est. Avg. Comp Sales (1-Fam) 2017,10.002,4.21E+11
135145,Est. Avg. Comp Sales (1-Fam) 2017,10.003,4.21E+11
81287,Est. Avg. Comp Sales (1-Fam) 2017,10.004,4.21E+11
101324,Est. Avg. Comp Sales (1-Fam) 2017,11.001,4.21E+11
107702,Est. Avg. Comp Sales (1-Fam) 2017,11.002,4.21E+11
102960,Est. Avg. Comp Sales (1-Fam) 2017,11.003,4.21E+11
99019,Est. Avg. Comp Sales (1-Fam) 2017,12.001,4.21E+11
122190,Est. Avg. Comp Sales (1-Fam) 2017,12.002,4.21E+11
116338,Est. Avg. Comp Sales (1-Fam) 2017,12.003,4.21E+11
115181,Est. Avg. Comp Sales (1-Fam) 2017,12.004,4.21E+11
71971,Est. Avg. Comp Sales (1-Fam) 2017,14.001,4.21E+11
71254,Est. Avg. Comp Sales (1-Fam) 2017,14.002,4.21E+11
114163,Est. Avg. Comp Sales (1-Fam) 2017,14.003,4.21E+11
105225,Est. Avg. Comp Sales (1-Fam) 2017,14.004,4.21E+11
,Est. Avg. Comp Sales (1-Fam) 2017,118.052,4.21E+11
60202,Est. Avg. Comp Sales (1-Fam) 2017,147.001,4.21E+11
65238,Est. Avg. Comp Sales (1-Fam) 2017,147.002,4.21E+11
81977,Est. Avg. Comp Sales (1-Fam) 2017,147.003,4.21E+11
226,Count of All Parcels,1.001,4.21E+11
281,Count of All Parcels,1.002,4.21E+11
399,Count of All Parcels,1.003,4.21E+11
541,Count of All Parcels,2.001,4.21E+11
487,Count of All Parcels,2.002,4.21E+11
391,Count of All Parcels,3.001,4.21E+11
415,Count of All Parcels,3.002,4.21E+11
438,Count of All Parcels,3.003,4.21E+11
418,Count of All Parcels,3.004,4.21E+11
400,Count of All Parcels,4.001,4.21E+11
261,Count of All Parcels,4.002,4.21E+11
373,Count of All Parcels,4.003,4.21E+11
236,Count of All Parcels,4.004,4.21E+11
338,Count of All Parcels,5.001,4.21E+11
401,Count of All Parcels,5.002,4.21E+11
323,Count of All Parcels,5.003,4.21E+11
189,Count of All Parcels,5.004,4.21E+11
276,Count of All Parcels,6.001,4.21E+11
259,Count of All Parcels,6.002,4.21E+11
324,Count of All Parcels,6.003,4.21E+11
377,Count of All Parcels,6.004,4.21E+11
271,Count of All Parcels,7.001,4.21E+11
257,Count of All Parcels,7.002,4.21E+11
